Player,Pos,G,A,PIM,PPG,SHG,GWG,PP,SH,SOG,FOW,FOL,BLK,HIT,-9999
Nikolai Kovalenko,RW,4,4,10,2,0,0,0,0,27,0,5,13,34,kovalni01
Nikolai Kovalenko,RW,3,9,6,1,0,0,1,0,18,2,2,11,50,kovalni01
Nick Bjugstad,C,8,11,16,1,0,0,0,0,115,207,230,29,104,bjugsni01
Jonny Brodzinski,C,12,7,4,0,0,2,0,0,73,81,89,19,27,brodzjo01
Michael Carcone,F,7,12,36,0,0,0,2,0,75,5,5,11,48,carcomi01
Tony DeAngelo,D,4,15,10,0,0,1,4,0,76,0,0,42,17,deangan01
Dylan DeMelo,D,3,16,38,0,0,2,0,0,75,0,0,112,137,demeldy01
Josh Doan,RW,7,12,8,3,0,1,1,0,88,35,50,14,45,doanjo01
Pontus Holmberg,RW,7,12,27,0,1,0,1,0,68,139,146,53,46,holmbpo01
Boone Jenner,C,7,12,4,2,1,1,1,0,70,105,100,18,43,jennebo01
Parker Kelly,F,8,11,29,0,1,2,0,1,99,302,400,72,161,kellypa01
Steven Lorentz,C,8,11,9,0,1,5,0,0,76,12,21,55,199,lorenst01
Pat Maroon,LW,5,14,97,1,0,1,0,0,73,36,42,9,102,maroopa01
Emil Martinsen Lilleberg,D,1,18,105,0,0,1,0,1,46,0,0,61,114,martiem01
Pavel Mintyukov,D,5,14,20,0,0,0,3,0,69,0,0,92,81,mintypa01
Connor Murphy,D,2,17,52,0,0,0,0,1,84,0,0,160,117,murphco02
Nicklaus Perbix,D,6,13,20,0,0,1,0,0,66,0,0,67,50,perbini01
Rasmus Ristolainen,D,4,15,14,0,0,2,3,0,100,0,0,94,97,ristora01
Nate Schmidt,D,5,14,30,0,0,0,4,0,70,0,0,71,82,schmina01
Jakob Pelletier,LW,7,12,10,0,0,1,0,0,54,13,19,19,47,pelleja01
Jakob Pelletier,LW,4,7,6,0,0,1,0,0,30,5,9,14,23,pelleja01
Jakob Pelletier,LW,3,5,4,0,0,0,0,0,24,8,10,5,24,pelleja01
Uvis Balinskis,D,4,14,27,0,0,0,4,0,92,0,2,55,83,balinuv01
Mitchell Chaffee,F,12,6,21,4,0,2,0,0,68,4,7,21,133,chaffmi01
Jalen Chatfield,D,7,11,54,0,0,2,0,1,114,0,0,64,64,chatfja01
Lawson Crouse,LW,12,6,39,1,0,2,0,0,126,19,22,46,193,crousla01
Kaiden Guhle,D,6,12,47,0,0,1,0,1,71,0,0,124,104,guhleka01
Erik Gustafsson,D,2,16,20,1,0,0,8,0,67,0,0,44,28,gustaer02
Emil Heineman,LW,10,8,20,3,0,0,2,0,64,1,6,24,173,heineem01
Mattias Janmark,C,2,16,22,0,0,0,0,3,51,97,142,35,45,janmama02
Luke Kunin,C,11,7,55,0,0,0,0,0,112,186,213,77,187,kuninlu01
Luke Kunin,C,11,7,46,0,0,0,0,0,95,181,202,64,163,kuninlu01
Luke Kunin,C,0,0,9,0,0,0,0,0,17,5,11,13,24,kuninlu01
Olli Määttä,D,2,16,16,0,0,0,0,0,73,0,0,124,25,maattol01
Olli Määttä,D,0,0,0,0,0,0,0,0,3,0,0,7,3,maattol01
Olli Määttä,D,2,16,16,0,0,0,0,0,70,0,0,117,22,maattol01
Matias Maccelli,LW,8,10,8,0,0,0,3,0,86,6,6,10,6,maccema01
Chris Tanev,D,3,15,24,0,0,0,0,1,43,0,0,189,20,tanevch01
Alexey Toropchenko,RW,4,14,25,0,0,1,0,0,90,4,5,53,223,toropal01
Craig Smith,C,9,9,34,2,0,1,0,0,90,8,15,31,56,smithcr01
Craig Smith,C,9,7,28,2,0,1,0,0,74,7,13,20,30,smithcr01
Craig Smith,C,0,2,6,0,0,0,0,0,16,1,2,11,26,smithcr01
Jack Drury,C,8,10,22,1,0,2,1,0,93,431,315,50,45,druryja01
Jack Drury,C,3,6,12,0,0,1,1,0,60,238,167,24,17,druryja01
Jack Drury,C,5,4,10,1,0,1,0,0,33,193,148,26,28,druryja01
Zach Aston-Reese,C,6,11,27,0,0,1,0,0,101,2,7,58,179,astonza01
Colin Blackwell,C,6,11,16,0,2,0,1,1,63,151,157,23,84,blackco01
Casey Cizikas,C,7,10,51,0,1,1,1,0,97,337,274,66,202,cizikca01
Ian Cole,D,1,16,77,0,0,0,0,1,66,0,0,211,106,coleia01
Drew Doughty,D,4,13,20,0,1,1,6,0,46,0,0,45,26,doughdr01
Mario Ferraro,D,5,12,53,0,0,1,0,1,79,0,0,125,150,ferrama01
A.J. Greer,LW,6,11,130,0,1,3,0,0,86,16,31,30,222,greeraj01
Cole Koepke,LW,10,7,17,0,0,2,0,0,85,0,2,26,177,koepkco01
Johnathan Kovacevic,D,1,16,72,0,0,1,0,0,76,0,0,99,102,kovacjo01
Sean Kuraly,C,6,11,40,0,0,0,0,0,88,316,266,45,163,kuralse01
Brett Leason,RW,5,12,22,1,0,0,1,0,79,23,58,44,64,leasobr01
Timothy Liljegren,D,6,11,38,2,0,0,2,0,102,0,0,111,64,liljeti01
Timothy Liljegren,D,0,0,2,0,0,0,0,0,0,0,0,2,0,liljeti01
Timothy Liljegren,D,6,11,36,2,0,0,2,0,102,0,0,109,64,liljeti01
Jamie Oleksiak,D,4,13,34,0,0,1,0,0,66,0,0,159,74,oleksja01
Andrew Peeke,D,1,16,15,0,1,0,0,1,80,0,0,126,105,peekean01
Brett Pesce,D,3,14,29,0,1,0,0,0,99,0,0,138,24,pescebr01
Fedor Svechkov,C,8,9,14,2,0,2,3,0,64,123,212,24,32,svechfe01
Tomáš Tatar,LW,7,10,20,1,0,0,2,0,66,10,9,19,56,tatarto01
Cameron York,D,4,13,26,0,0,1,0,0,65,0,0,126,60,yorkca01
Joe Veleno,C,8,9,17,0,0,0,0,0,75,201,228,44,139,velenjo01
Joe Veleno,C,5,5,13,0,0,0,0,0,50,136,152,32,93,velenjo01
Joe Veleno,C,3,4,4,0,0,0,0,0,25,65,76,12,46,velenjo01
Mark Jankowski,C,12,5,33,0,0,1,0,0,66,219,214,34,27,jankoma01
Mark Jankowski,C,4,5,15,0,0,0,0,0,45,113,110,20,23,jankoma01
Mark Jankowski,C,8,0,18,0,0,1,0,0,21,106,104,14,4,jankoma01
Oskar Back,C,4,12,8,0,0,0,0,1,44,90,83,35,28,backos01
Nick Blankenburg,D,4,12,24,1,0,2,5,0,84,0,0,74,53,blankni01
